 index,maxll,maxxy
           1 ,   2310.0463387871487      ,   25.202895331488715     
           2 ,   4640.0930787759180      ,   50.935755601726456     
           3 ,   5040.1011028083249      ,   55.027647828468538     
           4 ,   7840.1572710351720      ,   86.135936074821885     
           5 ,   8750.1755257088971      ,   95.459345688053517     
           6 ,   9360.1877623583187      ,   101.26394113814570     
           7 ,   14700.294883190949      ,   166.39980332263059     
           8 ,   16000.320961296269      ,   182.04595905782358     
           9 ,   17010.341221978095      ,   184.26700104669555     
          10 ,   19000.381141539321      ,   203.48025721118645     
